Partner Program Name,Type,"Latitude, Longitude",Visible Street Address,Visible Street Address Line 2,City,State,Zip,Open Date,Close Date,Days,Hours,Frequency,Website,Instagram,Facebook,Region,Notes
61st Street Farmers Market,Farmers Market,"41.78419797229684, -87.59057787685639",6100 S Blackstone Ave,,Chicago,IL,60637,5/17/2025,10/25/2025,Saturday,09:00 AM - 02:00 PM,Weekly,http://61market.org/,http://www.instagram.com/61market,http://www.facebook.com/61market,Chicago (South),
Alton Farmers' & Artisans' Market,Farmers Market,"38.88904044329888, -90.1787931881473",501 Landmarks Blvd,,Alton,IL,62002,5/10/2025,10/18/2025,Saturday,08:00 AM - 12:00 PM,Weekly,https://downtownalton.com/events/alton-farmers-artisans-market/,http://www.instagram.com/altonfarmersmarket,http://www.facebook.com/altonfarmersmarket,Southern IL,
Andersonville Farmers Market,Farmers Market,"41.97548579899612, -87.66829574568264",1500 W Winona Ave,,Chicago,IL,60640,5/14/2025,10/22/2025,Wednesday,03:00 PM - 07:00 PM,Weekly,http://andersonvillemarket.org,http://www.instagram.com/avillefarmersmarket,http://www.facebook.com/AvilleFarmersMarket,Chicago (North),
Aurora Farmers Market,Farmers Market,"41.756183114000464, -88.31519055927288",65 S Water St,,Aurora,IL,60505,6/7/2025,10/4/2025,Saturday,08:00 AM - 12:00 PM,Weekly,http://www.aurora-il.org/1595/Aurora-Farmers-Market,http://www.instagram.com/aurorailfarmersmarket,http://www.facebook.com/AuroraILFarmersMarket/,Chicago Suburbs,
Aurora Farmers Market West,Farmers Market,"41.76515721773567, -88.3655652584766",1999 W Galena Blvd,,Aurora,IL,60506,7/2/2025,8/20/2025,Wednesday,10:00 AM - 02:00 PM,Weekly,http://www.aurora-il.org/1595/Aurora-Farmers-Market,http://www.instagram.com/aurorailfarmersmarket,http://www.facebook.com/AuroraILFarmersMarket/,Chicago Suburbs,
Austin Town Hall Farmers Market,Farmers Market,"41.888449425198985, -87.76580140323851",5610 W Lake Street,,Chicago,IL,60644,6/12/2025,10/30/2025,Thursday,01:00 PM - 06:00 PM,Weekly,http://fortyacresfreshmarket.com/delivery,http://www.instagram.com/fortyacresfreshmarket,http://www.facebook.com/people/Forty-Acres-Fresh-Market/100084716291348/,Chicago (West),
Batavia Farmers' Market,Farmers Market,"41.85021907506605, -88.30603127637383",N River St,Between Wilson & Spring St,Batavia,IL,60510,5/17/2025,10/25/2025,"Wednesday, Saturday","05:00 PM - 08:00 PM, 08:00 AM - 12:00 PM",Weekly,https://downtownbatavia.com/farmers-markets/,http://www.instagram.com/bataviafarmersmarket/,http://www.facebook.com/BataviaFarmersMarket,Chicago Suburbs,
Belleville Farmer's Market (N Belt West),Retail Space,"38.54208631174143, -90.00550764469757",1901 N Belt West,,Belleville,IL,62226,5/1/2025,12/31/2025,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",08:00 AM - 06:00 PM 08:00 AM - 06:00 PM 08:00 AM - 06:00 PM 08:00 AM - 06:00 PM 08:00 AM - 06:00 PM 09:00 AM - 05:00 PM 09:00 AM - 05:00 PM,Weekly,http://www.farmersmarketbelleville.com,http://www.instagram.com/farmersmarketbelleville,http://www.facebook.com/farmersmarketnorthillinois/,Southern IL,
Belleville Farmer's Market (N Illinois St),Retail Space,"38.519606297906186, -89.9838183888762",500 N Illinois St,,Belleville,IL,62220,5/1/2025,12/31/2025,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",09:00 AM - 06:00 PM 09:00 AM - 06:00 PM 09:00 AM - 06:00 PM 09:00 AM - 06:00 PM 09:00 AM - 06:00 PM 09:00 AM - 05:00 PM 09:00 AM - 05:00 PM,Weekly,http://www.farmersmarketbelleville.com,http://www.instagram.com/farmersmarketbelleville,http://www.facebook.com/farmersmarketnorthillinois/,Southern IL,
Benton Farmers Market,Farmers Market,"37.99114143678938, -88.92650090341169",414 W Hudelson St,Benton City Park,Benton,IL,62812,5/1/2025,10/30/2025,Thursday,03:00 PM - 06:00 PM,Weekly,,http://www.instagram.com/bentonilfarmersmarket/,http://www.facebook.com/p/Benton-Farmers-Market-61558226954559/,Southern IL,
Broadview Farm and Gardens Farm Stand,Farm Stand,"42.2563841706937, -88.56358148659007",18720 Il Rte 176,,Marengo,IL,60152,5/19/2025,10/31/2025,"Monday, Tuesday, Thursday, Friday, Saturday",10:00 AM - 06:00 PM 10:00 AM - 06:00 PM  10:00 AM - 06:00 PM 10:00 AM - 06:00 PM 10:00 AM - 06:00 PM,Weekly,http://www.broadviewfarmandgardens.com/,http://www.instagram.com/broadviewfarmandgardens/,http://www.facebook.com/broadviewfarmandgardens/,Northern IL,
Bronzeville Farmers Market,Farmers Market,"41.80938230970444, -87.61712144569022",4702 S Martin Luther King Dr,,Chicago,IL,60615,7/13/2025,10/19/2025,Sunday,10:00 AM - 02:00 PM,Weekly,http://www.theurbancanopy.org/,http://www.instagram.com/theurbancanopy/,http://www.facebook.com/people/The-Urban-Canopy/61557158537143/#,Chicago (South),
Brookfield Farmers Market,Farmers Market,"41.82366765478327, -87.84121420753542",8820 Brookfield Ave,,Brookfield,IL,60513,6/7/2025,10/25/2025,Saturday,08:00 AM - 01:00 PM,Weekly,http://brookfieldfarmers.com/,http://www.instagram.com/brookfieldilfarmersmarket/,http://www.facebook.com/BrookfieldFarmers/,Chicago Suburbs,
Carmi Farmers Market,Farmers Market,"38.08874605604428, -88.16138093368846",1309 W Main St,,Carmi,IL,62821,5/6/2025,9/23/2025,Tuesday,04:30 PM - 07:30 PM,Weekly,,,,Southern IL,
Centralia Farmers Market,Farmers Market,"38.526576526305234, -89.13456857135876",Corner of Locust & 2nd St,,Centralia,IL,62801,5/17/2025,10/18/2025,Saturday,07:00 AM - 11:00 AM,Weekly,,,http://www.facebook.com/groups/720286981362893/,Southern IL,
Champaign Farmers Market,Farmers Market,"40.1192968330255, -88.2433410029285",302 N Neil St,,Champaign,IL,61820,5/13/2025,10/28/2025,Tuesday,03:00 PM - 06:00 PM,Weekly,http://www.thelandconnection.org/champaign-farmers-market/,http://www.instagram.com/cufarmersmarkets/,http://www.facebook.com/CUFarmersMarkets/,Central IL,
Chicago Patchwork Farms - CSA,CSA,"41.89548180525697, -87.69892926222204",,,,,,5/25/2025,11/1/2025,"Wednesday, Saturday",,Weekly,http://chicagopatchworkfarms.com,http://www.instagram.com/chicagopatchworkfarms,http://www.facebook.com/chicagopatchworkfarms,Chicago (West),Chicago Patchwork Farms offer a sliding scale CSA. Customers paying with SNAP can pay for the full year in partial payments weekly. We can accept payment at our farm-stand in person or set up a payment plan via email.
Chicago Patchwork Farms Farm Stand,Farm Stand,"41.895513749894576, -87.69775981917688",2825 W Chicago Ave,,Chicago,IL,60622,5/25/2025,11/1/2025,"Wednesday, Saturday",04:00 PM - 07:00 PM   10:00 AM - 03:00 PM,Weekly,http://chicagopatchworkfarms.com,http://www.instagram.com/chicagopatchworkfarms,http://www.facebook.com/chicagopatchworkfarms,Chicago (West),
Daley Plaza Market,Farmers Market,"41.884185364082064, -87.6301180711635",50 W Washington,,Chicago,IL,60602,5/22/2025,10/23/2025,Thursday,07:00 AM - 02:00 PM,Weekly,,,,Chicago (North),
Danville Farmers Market,Farmers Market,"40.17015642627089, -87.62717361827006",2721 N Vermilion,,Danville,IL,61814,5/17/2025,10/25/2025,Saturday,08:00 AM - 01:00 PM,Weekly,,,,Central IL,
DeKalb Farmers' Market,Farmers Market,"41.930784396966025, -88.752101121021",148-198 N 2nd St,,DeKalb,IL,60115,6/5/2025,9/18/2025,Thursday,10:00 AM - 02:00 PM,Weekly,https://dekalb.org/dekalb-farmers-market/,http://www.instagram.com/dekalbfarmersmarket/,http://www.facebook.com/dekalbfarmersmarket/,Northern IL,
DeMange Farm,Farm Stand,"38.581754436808225, -90.09425699244574",5750 Pocket,,East St Louis,IL,62205,4/1/2025,11/28/2025,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday",08:00 AM - 04:00 PM 08:00 AM - 04:00 PM 08:00 AM - 04:00 PM 08:00 AM - 04:00 PM 08:00 AM - 04:00 PM 08:00 AM - 02:00 PM,Weekly,,,http://www.facebook.com/demangefarm,Southern IL,
Division Street Market,Farmers Market,"41.90404140303838, -87.63141414554268",100 W Division Street,,Chicago,IL,60610,5/17/2025,10/25/2025,Saturday,07:00 AM - 12:00 PM,Weekly,,,,Chicago (North),
Downtown Bloomington Farmers' Market,Farmers Market,"40.480174488658186, -88.99413348992817",200 N Main St,,Bloomington,IL,61701,5/3/2025,10/25/2025,Saturday,07:30 AM - 12:00 PM,Weekly,http://www.downtownbloomington.org/farmers-market,http://www.instagram.com/bloomingtonmarket/,http://www.facebook.com/BLMFarmersMarket,Central IL,
Downtown Elgin Farmers Market,Farmers Market,"42.03578083735324, -88.2840469456799",S Riverside Dr,,Elgin,IL,60120,5/23/2025,10/10/2025,Friday,03:00 PM - 07:00 PM,Weekly,http://www.downtownelgin.com/market,http://www.instagram.com/downtownelginmarket,http://www.facebook.com/DowntownElginMarket,Chicago Suburbs,
Downtown Evanston Farmers Market,Farmers Market,"42.050229906548815, -87.68543970335064",1800 Maple Ave,,Evanston,IL,60201,5/3/2025,11/1/2025,Saturday,07:30 AM - 01:00 PM,Weekly,http://www.cityofevanston.org/residents/farmers-market,http://www.instagram.com/evanston_farmers_market/,,Chicago Suburbs,
Du Quoin State Fair Farmers Market,Farmers Market,"37.97882346660399, -89.22671734573923",655 Executive Dr,The Cattle Barns,Du Quoin,IL,62832,6/5/2025,8/7/2025,Thursday,03:00 PM - 06:00 PM,Weekly,https://dsf.illinois.gov/non-fair-events/farmersmarket.html,http://www.instagram.com/duquoinstatefair/,http://www.facebook.com/duquoinstatefair,Southern IL,
Edgewater Monday Market,Farmers Market,"41.989696061158966, -87.66001311684633",5917 N Broadway,Parking Lot,Chicago,IL,60660,6/2/2025,9/29/2025,Monday,03:00 PM - 07:00 PM,Weekly,http://www.edgewater.org,http://www.instagram.com/edgewaterchamber/,http://www.facebook.com/edgewaterchamberofcommerce/,Chicago (North),
Elverado Farmers Market,Farmers Market,"37.898423761002654, -89.23401146108917",Corner of Coal Road and Rte 51 South,,Elkville,IL,62932,6/6/2025,10/24/2025,Friday,03:00 PM - 06:00 PM,Weekly,,,http://www.facebook.com/ElveradoFarmersMarket,Southern IL,
Englewood Village Market,Farmers Market,"41.78884605959267, -87.64531914427742",5802 S Halsted St,,Chicago,IL,60621,6/14/2025,10/24/2025,Saturday,09:00 AM - 01:00 PM,Every other week,http://www.growgreater.org/,http://www.instagram.com/growgreaterenglewood,http://www.facebook.com/GrowGreaterEnglewood/,Chicago (South),
F.R.E.S.H. Farmers Market,Farmers Market,"38.62036079331971, -90.13211352327448",638 N 20th St,,East St. Louis,IL,62205,6/12/2025,10/30/2025,Thursday,08:00 AM - 11:00 AM,Weekly,https://eastsidehealthdistrict.org/f-r-e-s-h-garden/,,http://www.facebook.com/p/East-Side-Health-District-100064899512173/,Southern IL,
Fairfield Farmers Market,Farmers Market,"38.38470450058926, -88.35300114717049",416 E Johnson St,Leo French Park,Fairfield,IL,62837,5/3/2025,9/20/2025,Saturday,09:00 AM - 01:00 PM,Weekly,,,,Southern IL,
Farm on Ogden,Farmers Market,"41.8543796320394, -87.71439234568817",3555 W Ogden Ave,,Chicago,IL,60623,1/1/2025,12/31/2025,"Tuesday, Wednesday, Thursday, Friday, Saturday",11:00 AM - 06:00 PM 11:00 AM - 06:00 PM 11:00 AM - 06:00 PM 11:00 AM - 06:00 PM 09:00 AM - 03:00 PM,Weekly,http://www.chicagobotanic.org/urbanagriculture/farm_on_ogden,http://www.instagram.com/windycityharvest/,http://www.facebook.com/windycityharvest/,Chicago (West),
Farmer’s Market of Carbondale,Farmers Market,"37.729517540540556, -89.24344204515462",2101 W Main St,,Carbondale,IL,62901,4/5/2025,12/6/2025,Saturday,08:00 AM - 12:00 PM,Weekly,http://www.farmersmarketcarbondale.com/,,http://www.facebook.com/farmersmarketcarbondale/,Southern IL,
Farmers Rising Rockford,Farmers Market,"42.25251564002662, -89.0911521026382",1417 Meadow Ct,,Rockford,IL,61104,8/1/2025,11/1/2025,"Monday, Tuesday, Wednesday, Thursday, Friday",08:00 AM - 04:00 PM 08:00 AM - 04:00 PM 08:00 AM - 04:00 PM 08:00 AM - 04:00 PM 08:00 AM - 04:00 PM,Monthly,http://www.farmersrising.org/,http://www.instagram.com/farmers.rising/,http://www.facebook.com/LearnGrowConnect/,Northern IL,Farmers Rising (Rockford) operates a farmers market at several Rockford Housing Authority (RHA) properties.
Finding Justice Farm Stand,Farm Stand,"41.88427944841874, -87.73657102935209",217 N Kenneth Ave,,Chicago,IL,60624,6/23/2025,11/28/2025,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",,Weekly,http://www.findingjusticegarden.com,http://www.instagram.com/findingjusticegarden,http://www.facebook.com/findingjusticegarden,Chicago (West),Farm Stand is open Monday -  Sunday during daylight hours. Saturday and Sunday the stand closes by 7.
Finding Justice Market Booth,Farmers Market,"41.918635603613644, -87.64582585846988",2001 N Orchard St,,Chicago,IL,60614,6/28/2025,11/29/2025,Sunday,07:00 AM - 01:00 PM,Weekly,http://www.findingjusticegarden.com,http://www.instagram.com/findingjusticegarden,http://www.facebook.com/findingjusticegarden,Chicago (West),Find Justice: A Flower and Vegetable Garden runs a booth at the Lincoln Park Farmers Market that runs SNAP and Link Match transactions
Finding Justice Online Market,Other,"41.88427944841874, -87.73657102935209",,,,,,4/11/2025,11/30/2025,"Monday, Tuesday, Wednesday, Thursday, Friday, Saturday, Sunday",09:00 AM - 08:00 PM 09:00 AM - 08:00 PM 09:00 AM - 08:00 PM 09:00 AM - 08:00 PM 09:00 AM - 08:00 PM 07:00 AM - 08:00 PM 09:00 AM - 08:00 PM,Weekly,http://www.findingjusticegarden.com,http://www.instagram.com/findingjusticegarden,http://www.facebook.com/findingjusticegarden,Chicago (West),SNAP users can order online (https://findingjusticegarden.com) and get ordered delivered or pick up at 217 N Kenneth St during Farm Stand hours
Food Works Mobile Farmers Market,Mobile Market,"37.724206195199635, -89.21987920341356",,,,,,6/3/2025,10/23/2025,"Tuesday, Wednesday, Thursday","01:00 PM - 06:00 PM, 10:30 AM - 04:00 PM, 10:30 AM - 03:30 PM",Weekly,https://fwsoil.org/mobile-market/,http://www.instagram.com/fwmobilemarket/,,Southern IL,"Jackson County (Tuesdays)
1-2pm Faye's, Murphysboro 
3-4pm Carbondale TBD
5-6 Carbondale TBD
Williamson County (Wednesdays)
10:30-11:30 Herrin House of Hope 
12-2pm Marion Veteran Affairs
3-4 Carterville Farm Fresh
Union County (Thursdays) 
10:30-11:30am HeBrewz Coffee, Anna-Jonesboro 
1-2pm Havisham House, Alto Pass 
2:30-3:30 Cobden Elementary School"
Forty Acres Fresh Market,Grocery Delivery Service,"41.844749210903565, -87.68313961460017",,,,,,1/1/2025,12/31/2025,"Monday, Wednesday, Friday, Sunday",,Weekly,http://fortyacresfreshmarket.com/delivery,http://www.instagram.com/fortyacresfreshmarket,http://www.facebook.com/people/Forty-Acres-Fresh-Market/100084716291348/,Chicago (West),"Forty Acres Fresh Market runs a residential produce box delivery service. Open year round - check website for details

Ordering: Orders are placed online for weekly, biweekly, or monthly subscriptions or one time deliveries. Minimum order for delivery is $10. SNAP payment is made at the time of delivery. 

Delivery: Sunday, Monday, Wednesday, and Fridays (barring any service changes due to holidays or inclement weather) throughout the city and select I-290 western suburbs based on zip code. "
Fresh Moves Mobile Market,Mobile Market,"41.837845461813814, -87.65764861231756",,,,,,4/7/2025,12/9/2025,"Monday, Tuesday, Wednesday, Thursday, Friday",,Weekly,http://www.urbangrowerscollective.org/,http://www.instagram.com/urbangrowerscollective/,http://www.facebook.com/urbangrowerscollective/,Chicago (South),"Mobile Farmers Market is stocked with UGC farm produce, partners’ produce and value added goods, and supplemented with wholesale produce. FMMM stops at partner site locations throughout the week and for community health interventions to improve overall community health through food access, recipes and nutrition, and awareness of food systems

For more information about where the market will be, see our schedule at 

https://www.urbangrowerscollective.org/fresh-moves-mobile-market#schedule "
Galesburg Farmers Market,Farmers Market,"40.94702081594405, -90.36526341504357",362 E Simmons S,,Galesburg,IL,61401,5/3/2025,9/27/2025,Saturday,08:00 AM - 12:00 PM,Weekly,http://www.galesburgfarmersmarket.com,,http://www.facebook.com/share/14BT4c6bhR/?mibextid=wwXIfr,Central IL,
Garfield Park Neighborhood Market,Farmers Market,"41.88415679743031, -87.70567904801305",135 N Kedzie Ave,,Chicago,IL,60612,6/14/2025,10/25/2025,Saturday,10:00 AM - 02:00 PM,Other,http://www.gpcommunitycouncil.org/events,http://www.instagram.com/gpccouncil,http://www.facebook.com/gpccouncil/,Chicago (West),"2nd and 4th Saturdays of every month from the open to end day
6/14 & 28, 7/12 & 26, 8/9 & 23, 9/13 & 27, 10/11 & 25"
Garfield Park Neighborhood Market (Indoor),Winter Market,"41.88415679743031, -87.70567904801305",135 N Kedzie Ave,,Chicago,IL,60612,2/8/2025,5/10/2025,Saturday,10:00 AM - 02:00 PM,Other,http://www.gpcommunitycouncil.org/events,http://www.instagram.com/gpccouncil,http://www.facebook.com/gpccouncil/,Chicago (West),
Gary Comer Youth Center Farmers Market,Farmers Market,"41.763372032696815, -87.60240990384638",7244 S Chicago (South) Ave,,Chicago,IL,60619,7/8/2025,10/31/2025,"Tuesday, Friday",03:00 PM - 06:00 PM   03:00 PM - 06:00 PM,Weekly,http://www.garycomeryouthcenter.org/programs/urban-agriculture,http://www.instagram.com/comercrops/,,Chicago (South),
Glenview Farmer's Market at Historic Wagner Farm,Farmers Market,"42.084240096058046, -87.78149707821302",1510 Wagner Rd,,Glenview,IL,60025,6/21/2025,10/25/2025,Saturday,08:00 AM - 12:00 PM,Weekly,https://glenviewparks.org/facilities/historic-wagner-farm/,http://www.instagram.com/historicwagnerfarm/,http://www.facebook.com/HistoricWF,Chicago Suburbs,
Glenwood Sunday Market,Farmers Market,"42.00818286836053, -87.66756789033252",1448 W Morse Ave,,Chicago,IL,60626,6/1/2025,10/26/2025,Sunday,09:00 AM - 02:00 PM,Weekly,https://glenwoodsundaymarket.rpba.org/,http://www.instagram.com/glenwoodsundaymarket,http://www.facebook.com/GlenwoodSunday/,Chicago (North),
Good Samaritan Inn's Mercy Market,Farmers Market,"39.844355058720275, -88.9549301894462",337 N Water St,,Decatur,IL,62523,6/7/2025,10/25/2025,Saturday,08:00 AM - 12:00 PM,Weekly,http://www.goodsamaritaninn.org/market,http://www.instagram.com/goodsaminndecatur/,http://www.facebook.com/goodsaminndecatur/,Central IL,
Grayville Farmers Market,Farmers Market,"38.258086290195465, -87.99507327415976",2200 S Court St,Quality Inn Parking Lot,Grayville,IL,62844,5/7/2025,9/24/2025,Wednesday,04:00 PM - 07:00 PM,Weekly,,,,Southern IL,
Green City Market - Lincoln Park,Farmers Market,"41.91601672524698, -87.63417174497974",1817 N Clark St,,Chicago,IL,60614,4/5/2025,11/22/2025,"Wednesday, Saturday",07:00 AM - 01:00 PM   07:00 AM - 01:00 PM,Weekly,http://greencitymarket.org,http://www.instagram.com/greencitymarket,http://www.facebook.com/greencitymarket,Chicago (North),
Green City Market - West Loop,Farmers Market,"41.88002979032797, -87.65063888149106",115 S Sangamon St,,Chicago,IL,60607,5/3/2025,11/22/2025,Saturday,08:00 AM - 01:00 PM,Weekly,http://greencitymarket.org,http://www.instagram.com/greencitymarket,http://www.facebook.com/greencitymarket,Chicago (West),
"Growing Home, Inc. Farm Stand",Farm Stand,"41.78721016019264, -87.67096586103398",1844 W 59th St,,Chicago,IL,60636,5/15/2025,10/30/2025,Thursday,11:00 AM - 05:00 PM,Weekly,http://www.growinghomeinc.org/,http://www.instagram.com/growinghome/,http://www.facebook.com/growinghomeinc,Chicago (South),
"Growing Home, Inc. Pop Up",Mobile Market,"41.787114163891935, -87.66721076854496",,,,,,5/12/2025,10/31/2025,Friday,,Weekly,http://www.growinghomeinc.org/,http://www.instagram.com/growinghome/,http://www.facebook.com/growinghomeinc,Chicago (South),"We will begin operating a mobile market trailer to service areas which do not have nearby access to fresh produce. At this time we are still determining an exact schedule and locations for this mobile market, however, we primarily plan to serve Englewood in locations that grocery stores have closed and/or senior centers."
Gurnee Farmers Market,Farmers Market,"42.362188077291556, -87.92836916051527",5101 W Washington St,#14,Gurnee,IL,60031,6/8/2025,9/14/2025,Sunday,10:00 AM - 2:00 PM,Weekly,http://gurneefarmersmarket.com,,http://www.facebook.com/gurneefarmersmarket/,Northern IL,
Hamptons Farmers Market,Farmers Market,"41.87661154185276, -87.75475804648144",3 S Laramie Ave,,Chicago,IL,60644,6/17/2025,10/29/2025,Wednesday,12:00 PM - 05:00 PM,Weekly,,,https://www.facebook.com/people/Hamptons-Farmers-Market/61576727805636/,Chicago (West),
Hegewisch Farmers Market,Farmers Market,"41.652272935295116, -87.5406004168617",13323 S Green Bay Ave,,Chicago,IL,60633,5/10/2025,10/11/2025,Saturday,09:00 AM - 01:00 PM,Weekly,http://www.hegewischfarmersmarket.org,http://www.instagram.com/hegewischfarmersmarket,http://www.facebook.com/hegewischfarmersmarket,Chicago (South),
Hyde Park Farmers Market,Farmers Market,"41.7971099495383, -87.5879074610335",5400 Lake Park West,,Chicago,IL,60615,6/1/2025,9/28/2025,Sunday,09:00 AM - 02:00 PM,Weekly,http://www.secc-chicago.org,http://www.instagram.com/hydeparkfarmersmarket,http://www.facebook.com/hydeparkchicagofarmersmarket/,Chicago (South),
Illinois Product Farmers Market,Farmers Market,"39.831904406930455, -89.64308399050397",801 E Sangamon Ave,,Springfield,IL,62706,5/15/2025,9/25/2025,Thursday,03:30 PM - 07:00 PM,Weekly,http://www.illinoisproductfarmersmarket.com,http://www.instagram.com/illinoisproducts,http://www.facebook.com/illinoisproduct,Central IL,
It Takes A Village Community Farm Farm Stand,Farm Stand,"41.48429845629651, -87.56094467197899",2500 223rd St,,Sauk Village,IL,60411,6/14/2025,10/25/2025,Saturday,09:00 AM - 12:00 PM,Weekly,http://justrootschicago.org,http://www.instagram.com/justrootschicago,http://www.facebook.com/justrootschicago,Chicago Suburbs,
Jacksonville Farmers Market,Farmers Market,"39.72199132950466, -90.26834754232944",1905 W Morton Ave,"Pathway Services, Inc. Parking Lot",Jacksonville,IL,62650,5/1/2025,11/1/2025,"Wednesday, Saturday",06:30 AM - 12:00 PM   06:30 AM - 12:00 PM,Weekly,,,http://www.facebook.com/JacksonvilleFarmersMarket,Central IL,
Jefferson Park Sunday Market,Farmers Market,"41.968760349224794, -87.76284129218263",4822 N Long Ave,,Chicago,IL,60630,6/8/2025,10/26/2025,Sunday,09:30 AM - 01:30 PM,Other,http://www.jeffersonparksundaymarket.com/,http://www.instagram.com/jefferson_park_sunday_market/?hl=en,http://www.facebook.com/JeffersonParkSundayMarket/,Chicago (North),2nd and 4th Sunday of the month
Jo Daviess Local Foods,Mobile Market,"42.256400086425934, -90.27972513218549",,,,,,1/7/2025,12/23/2025,Tuesday,,Weekly,http://www.jdlf.org,http://www.instagram.com/jdlocalfoods,http://www.facebook.com/groups/jdlfmarket/,Northern IL,"Customers order online, and then we deliver orders every Tuesday, year-round."
Kankakee Farmers Market,Farmers Market,"41.19289706654831, -87.83955168212762",250 S Schuyler Ave,,Kankakee,IL,60901,5/3/2025,10/25/2025,Saturday,08:00 AM - 12:00 PM,Weekly,http://www.downtownkankakee.com/events/farmers-market/,http://www.instagram.com/kankakeefarmersmarket/,http://www.facebook.com/K3FarmersMarket/,Northern IL,
Lanark Farmers Market,Farmers Market,"42.102393956805805, -89.8325620033482",101 N Broad St,,Lanark,IL,61046,5/20/2025,10/28/2025,Tuesday,03:00 PM - 06:00 PM,Weekly,http://lanarkfarmersmarket.com,http://www.instagram.com/lanarkfarmersmarket/,http://www.facebook.com/LanarkFarmersMarket,Northern IL,
Land of Goshen Community Market,Farmers Market,"38.81217319121878, -89.95761772996087",200 St. Louis Street,,Edwardsville,IL,62025,5/10/2025,10/18/2025,Saturday,08:00 AM - 12:00 PM,Weekly,http://goshenmarket.org/,,http://www.facebook.com/goshenmarket/,Southern IL,
Le Roy Farmers Market,Farmers Market,"40.34735797728068, -88.76155848942764",Kiwanis Park,,Le Roy,IL,61752,5/25/2025,9/14/2025,Sunday,12:00 PM - 02:00 PM,Weekly,,,http://www.facebook.com/leroyilfarmersmarket/,Central IL,
LEAF Food Hub,Mobile Market,"37.72393463838875, -89.21215444201435",,,,,,1/9/2025,12/18/2025,Friday-Tuesday,,Weekly,http://www.leaffoodhub.com/,http://www.instagram.com/leaffoodhub/,http://www.facebook.com/LEAFFoodHub,Southern IL,"Open year round - check website for details

On-line ordering: Fridays 12pm - Tuesdays 8pm

Pick-up/delivery: Thursday afternoons"
Liberty Prairie Farm Store,Farmers Market,"42.34267779821924, -88.01531291985819",970 Harris Rd,Suite 1B,Grayslake,IL,60030,1/1/2025,5/1/2026,"Wednesday, Thursday, Friday, Saturday, Sunday",10:00 AM - 06:00 PM 10:00 AM - 06:00 PM 10:00 AM - 06:00 PM 10:00 AM - 06:00 PM 01:00 PM - 06:00 PM,Weekly,http://www.libertyprairie.org,http://www.instagram.com/libertyprairie,http://www.facebook.com/libertyprairieorg/,Northern IL,
Lincoln Square Farmers Market,Farmers Market,"41.96399618517147, -87.68500763544841",4513 N Lincoln Ave,,Chicago,IL,60625,5/1/2025,11/18/2025,"Tuesday, Thursday",07:00 AM - 12:00 PM  03:00 PM - 07:00 PM,Weekly,http://www.lincolnsquare.org/farmers-market,http://www.instagram.com/lincolnsquarefarmersmarket/,http://www.facebook.com/lincolnsquarefarmersmarket,Chicago (North),
Logan Square Farmers Market,Farmers Market,"41.928510383853784, -87.70728431917422",3150 N Logan Blvd,,Chicago,IL,60647,5/11/2025,10/26/2025,Sunday,08:30 AM - 03:00 PM,Weekly,http://www.loganchamber.org,http://www.instagram.com/lsfarmersmarket,http://www.facebook.com/LoganSquareFarmersMarket/about/,Chicago (West),
